Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491945537919, 55, 44, 25, 11.59, 29.89, 173
1491945537968, 48, 47, 26, 21.32, 27.64, 180
1491945538048, 77, 63, 24, 42.32, 22.24, 196
1491945538094, 45, 80, 23, 49.03, 23.37, 204
1491945538177, 82, 91, 28, 47.10, 32.76, 211
1491945538267, 89, 89, 29, 34.34, 30.22, 196
1491945538313, 45, 74, 30, 14.34, 31.38, 177
1491945538396, 81, 59, 30, 9.37, 30.21, 171
1491945538474, 75, 52, 29, 14.09, 28.70, 174
1491945538529, 55, 60, 29, 32.17, 30.05, 194
1491945538611, 78, 73, 28, 42.53, 27.71, 202
1491945538708, 96, 80, 29, 38.79, 31.15, 201
1491945538764, 56, 110, 26, 74.40, 22.45, 228
1491945538811, 46, 106, 26, 38.96, 26.51, 197
1491945538868, 53, 101, 26, 35.25, 26.26, 193
1491945538940, 71, 100, 25, 38.58, 23.93, 194
1491945539014, 69, 90, 23, 26.51, 22.59, 181
1491945539061, 46, 66, 22, 3.04, 22.09, 157
1491945539108, 46, 61, 24, 18.92, 25.97, 176
1491945539181, 72, 44, 26, 0.81, 29.40, 162
1491945539229, 47, 50, 27, 25.97, 28.22, 186
1491945539338, 108, 66, 29, 42.83, 32.12, 206
1491945539410, 71, 74, 29, 37.85, 29.71, 199
1491945539463, 52, 81, 29, 39.67, 29.16, 200
1491945539553, 90, 79, 27, 30.18, 24.69, 186
1491945539605, 50, 77, 26, 29.18, 25.81, 186
1491945539680, 74, 69, 25, 19.36, 25.47, 176
1491945539774, 83, 64, 27, 20.34, 28.60, 180
1491945539843, 68, 63, 27, 24.57, 27.56, 184
1491945539905, 61, 66, 26, 29.81, 26.22, 188
1491945539968, 61, 71, 28, 33.29, 29.33, 194
1491945540003, 33, 73, 28, 30.94, 28.51, 191
1491945540102, 98, 101, 25, 69.35, 22.55, 223
1491945540177, 74, 103, 23, 43.10, 21.33, 196
1491945540266, 88, 101, 23, 38.69, 23.23, 193
1491945540347, 79, 79, 25, 10.46, 26.75, 169
1491945540396, 48, 52, 25, -5.82, 25.55, 151
1491945540470, 73, 43, 24, 8.09, 23.81, 163
1491945540509, 38, 38, 25, 10.84, 26.00, 168
1491945540578, 68, 44, 25, 23.89, 25.58, 181
1491945540625, 46, 48, 25, 23.45, 25.45, 180
1491945540706, 79, 94, 15, 83.67, 5.14, 220
1491945540790, 83, 100, 13, 46.62, 11.23, 189
1491945540866, 76, 104, 12, 45.53, 11.40, 188
1491945540935, 67, 98, 8, 33.49, 4.92, 170
1491945541011, 74, 61, 2, -12.81, -3.46, 115
1491945541055, 43, 44, 0, 1.06, -3.16, 129
1491945541141, 86, 10, 0, -29.21, 0.21, 103
1491945541206, 64, 19, 0, 15.72, -1.14, 146
1491945541274, 67, 25, -1, 17.24, -2.10, 147
1491945541332, 56, 36, -2, 25.21, -3.58, 153
1491945541411, 78, 51, -3, 35.23, -4.97, 162
1491945541491, 66, 46, -4, 13.99, -4.58, 141
1491945541577, 86, 40, -4, 9.79, -4.21, 137
1491945541627, 47, 11, -2, -23.89, -1.57, 106
1491945541709, 81, -9, -1, -25.61, -0.45, 105
1491945541776, 66, -17, 0, -15.05, -0.07, 116
1491945541869, 93, -21, 0, -11.87, -1.10, 119
1491945541922, 52, -6, -1, 12.67, -1.36, 143
1491945541985, 62, 6, -1, 15.32, -2.38, 144
1491945542048, 62, 16, -1, 16.95, -2.12, 146
1491945542110, 57, 22, -2, 14.21, -2.52, 143
1491945542168, 57, 14, -1, -1.63, -1.57, 128
1491945542252, 82, 5, -1, -7.19, -0.95, 123
1491945542295, 42, -5, 0, -13.20, -0.03, 118
1491945542391, 95, -14, 0, -15.26, 0.43, 117
1491945542470, 78, -13, 0, -3.48, -0.09, 128
1491945542515, 43, -6, 0, 3.42, -0.42, 135
1491945542577, 52, 0, 0, 8.01, -0.74, 139
1491945542661, 83, 6, 0, 8.51, -0.76, 139
1491945542733, 71, 7, 0, 4.55, -0.60, 135
1491945542808, 74, 3, 0, -2.58, -0.58, 128
1491945542905, 92, -1, 0, -5.63, -0.19, 126
1491945542981, 75, -10, 0, -13.12, 1.11, 119
1491945543042, 60, -17, 0, -13.53, 0.74, 119
1491945543103, 59, -18, 0, -8.34, 1.01, 124
1491945543177, 72, -17, 0, -5.71, 0.62, 126
1491945543214, 35, -8, 0, 5.74, 0.43, 138
1491945543297, 71, 0, 0, 8.72, -0.20, 140
1491945543333, 36, 3, 0, 4.14, 0.22, 136
1491945543433, 99, 5, 0, 4.35, -0.35, 135
1491945543479, 45, 0, 0, -5.05, 0.74, 127
1491945543567, 87, -6, 0, -8.99, 0.72, 123
1491945543640, 72, -9, 0, -6.89, 0.80, 125
1491945543697, 52, -14, 1, -11.49, 1.71, 122
1491945543763, 66, -12, 0, -2.38, 0.61, 130
1491945543828, 64, -7, 0, 2.40, 1.05, 135
1491945543876, 40, 0, 0, 8.16, -0.50, 139
1491945543946, 68, 2, 0, 2.47, 0.42, 134
1491945544006, 60, 3, 0, 3.26, -0.24, 135
1491945544062, 54, 5, 0, 4.01, -0.44, 135
1491945544132, 68, 3, 0, -1.39, 0.16, 130
1491945544184, 51, 1, 0, -1.68, -0.13, 130
1491945544264, 79, -3, 0, -5.82, 0.12, 126
1491945544335, 71, -13, 0, -15.62, 1.36, 117
1491945544386, 50, -15, 0, -8.18, 1.15, 124
1491945544441, 54, -17, 1, -9.03, 1.20, 124
1491945544506, 63, -14, 1, -2.84, 1.02, 130
1491945544579, 71, -8, 0, 2.01, 0.70, 134
1491945544637, 57, 0, 0, 8.35, -0.37, 139
1491945544678, 40, 1, 0, 2.62, 0.25, 134
1491945544748, 68, 8, 0, 9.89, -1.00, 140
1491945544805, 48, 5, 0, 0.18, -0.13, 132
1491945544872, 66, 4, 0, -0.12, -0.60, 131
1491945544946, 73, 1, 0, -1.73, -0.20, 130
1491945545007, 61, -1, 0, -4.33, -1.58, 126
1491945545096, 87, -7, 0, -9.13, -0.62, 122
