Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491940379546, 85, -43, -5, -87.75, -5.53, 38
1491940379619, 70, -43, -5, -87.75, -5.53, 38
1491940379716, 97, -9, -26, 14.33, -46.60, 99
1491940379781, 63, 53, -56, 169.70, -86.84, 214
1491940379886, 103, 53, -56, 106.56, -56.45, 182
1491940379926, 35, -7, -56, -75.65, -57.22, 0
1491940380031, 103, -45, -53, -128.11, -49.73, 0
1491940380085, 53, -75, -23, -180.49, 6.61, 0
1491940380119, 34, -75, -24, -152.54, -25.92, 0
1491940380224, 104, -76, -43, -153.46, -63.16, 0
1491940380281, 57, -65, -42, -119.40, -41.61, 0
1491940380360, 77, -46, -48, -75.26, -53.95, 2
1491940380422, 60, -81, 12, -198.84, 73.18, 6
1491940380490, 68, -75, -20, -143.25, -53.41, 0
1491940380565, 74, -15, -53, 28.62, -87.39, 73
1491940380639, 65, -15, -53, -30.95, -53.95, 47
1491940380701, 61, -15, -53, -30.95, -53.95, 47
1491940380767, 62, -18, -5, -39.81, 43.12, 135
1491940380850, 79, -19, -14, -39.30, -23.84, 68
1491940380953, 102, -22, -26, -47.59, -39.04, 45
1491940381041, 87, -31, -51, -73.28, -75.99, 0
1491940381091, 49, -31, -51, -63.71, -51.41, 16
1491940381174, 82, -31, -51, -63.71, -51.41, 16
1491940381268, 93, 12, -68, 70.66, -84.60, 118
1491940381326, 57, 12, -68, 25.87, -68.00, 89
1491940381402, 74, 12, -68, 25.87, -68.00, 89
1491940381483, 80, 12, -68, 25.87, -68.00, 89
1491940381542, 58, 12, -68, 25.87, -68.00, 89
1491940381622, 79, 12, -68, 25.87, -68.00, 89
1491940381699, 76, 12, -68, 25.87, -68.00, 89
1491940381758, 57, 12, -68, 25.87, -68.00, 89
1491940381831, 72, 12, -68, 25.87, -68.00, 89
1491940381881, 50, 12, -68, 25.87, -68.00, 89
1491940382033, 151, 55, 3, 152.84, 74.25, 255
1491940382072, 38, -7, 2, -79.24, 2.18, 54
1491940382155, 82, -6, -1, -10.15, -6.40, 115
