Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491945929643, 37, -3, 0, -3.17, -0.37, 128
1491945929718, 73, -6, 0, -4.94, 0.28, 127
1491945929777, 59, -7, 0, -3.95, 0.23, 128
1491945929815, 36, -8, 0, -4.72, 0.49, 127
1491945929899, 83, -9, 0, -4.33, 0.62, 128
1491945929971, 71, -9, 0, -4.31, 0.80, 128
1491945930016, 43, -7, 0, -0.84, 0.40, 131
1491945930097, 70, -6, 0, -2.30, 0.49, 130
1491945930128, 31, -5, 0, -0.49, 0.87, 132
1491945930210, 81, -4, 0, -1.29, 0.79, 131
1491945930281, 70, -4, 0, -1.44, 0.72, 131
1491945930361, 79, -3, 0, -0.97, 0.78, 131
1491945930432, 70, -3, 0, -1.69, 0.16, 130
1491945930498, 64, -2, 0, 0.05, 0.48, 132
1491945930603, 104, -4, 0, -2.85, 0.64, 129
1491945930677, 73, -4, 0, -2.19, 0.83, 130
1491945930714, 36, -4, 0, -2.16, 0.47, 130
1491945930811, 96, -4, 0, -1.43, 0.35, 130
1491945930879, 67, -3, 0, -1.19, -0.13, 130
1491945930947, 67, -5, 0, -3.80, 0.21, 128
1491945931010, 62, -5, 0, -2.06, -0.12, 129
1491945931049, 38, -6, 0, -3.64, 0.18, 128
1491945931120, 70, -8, 0, -5.25, 0.50, 127
1491945931178, 57, -8, 0, -4.04, 0.54, 128
1491945931245, 65, -9, 0, -5.07, 0.45, 127
1491945931317, 71, -11, 1, -6.79, 1.99, 127
1491945931358, 40, -12, 1, -5.46, 2.07, 128
1491945931441, 82, -9, 1, -0.46, 1.36, 132
1491945931501, 57, -8, 1, -3.30, 1.78, 130
1491945931541, 38, -8, 1, -3.31, 1.36, 130
1491945931609, 68, -4, 0, 2.07, 0.07, 134
1491945931688, 77, -4, 0, -1.31, 1.01, 131
1491945931741, 52, -4, 0, -1.39, 0.42, 131
1491945931810, 69, -3, 0, -0.83, 0.41, 131
1491945931877, 67, -5, 0, -3.92, 1.10, 129
1491945931954, 76, -6, 0, -4.02, 0.57, 128
1491945931992, 37, -9, 0, -6.19, 1.09, 126
1491945932075, 81, -12, 0, -7.69, 1.02, 125
1491945932140, 64, -12, 1, -5.66, 1.46, 127
1491945932180, 40, -12, 1, -5.41, 1.34, 127
1491945932250, 69, -11, 1, -3.38, 0.92, 129
1491945932305, 46, -8, 1, -0.25, 1.23, 132
1491945932382, 75, -6, 0, -1.22, 0.73, 131
1491945932429, 47, -5, 0, -0.72, 0.95, 132
1491945932512, 82, -3, 0, 0.64, 0.75, 133
1491945932594, 82, -3, 0, -1.37, 0.55, 131
1491945932641, 46, 0, 0, 2.36, 0.00, 134
1491945932719, 76, -1, 0, -1.72, -0.17, 130
1491945932767, 47, -1, 0, -0.93, -0.29, 130
1491945932842, 74, -4, 0, -4.74, 0.60, 127
1491945932918, 75, -6, 0, -3.78, 0.11, 128
1491945932976, 57, -8, 0, -5.16, 0.79, 127
1491945933048, 71, -10, 0, -6.34, 0.81, 126
1491945933110, 61, -11, 0, -5.24, 0.94, 127
1491945933205, 94, -9, 0, -2.58, 0.80, 130
1491945933297, 91, -8, 0, -2.82, 0.59, 129
1491945933367, 69, -7, 0, -2.02, 1.17, 131
1491945933436, 68, -7, 0, -2.87, 0.81, 129
1491945933493, 56, -4, 0, 1.51, 0.12, 133
1491945933533, 39, -3, 0, -1.06, 0.33, 131
1491945933614, 80, -2, 0, 0.10, 0.30, 132
1491945933684, 67, -2, 0, -0.45, 0.50, 132
1491945933753, 53, -3, 2, -2.25, 4.85, 134
1491945933835, 81, -2, 3, -0.60, 4.57, 135
1491945933903, 67, -2, 6, -0.63, 9.25, 140
1491945933966, 62, 0, 12, 3.33, 18.00, 153
1491945934028, 61, 0, 14, 0.42, 17.19, 149
1491945934096, 67, 18, 19, 24.79, 23.92, 180
1491945934174, 77, 26, 19, 18.35, 19.15, 169
1491945934237, 62, 50, 18, 44.84, 18.68, 195
1491945934314, 76, 52, 18, 22.23, 17.83, 172
1491945934388, 65, 52, 19, 21.49, 21.42, 174
1491945934436, 43, 41, 21, 5.72, 23.94, 161
1491945934508, 72, 42, 22, 18.52, 23.73, 174
1491945934594, 84, 46, 24, 22.07, 25.38, 179
1491945934677, 82, 52, 24, 26.71, 25.12, 183
1491945934746, 68, 65, 26, 39.18, 27.48, 198
1491945934868, 122, 82, 23, 50.68, 21.25, 203
1491945934927, 58, 85, 25, 37.31, 27.94, 197
1491945934994, 66, 72, 28, 15.78, 31.66, 179
1491945935037, 42, 65, 30, 18.89, 32.06, 182
1491945935113, 75, 54, 30, 10.95, 30.64, 173
1491945935149, 36, 56, 30, 24.76, 29.93, 186
1491945935223, 73, 61, 30, 30.19, 30.91, 193
1491945935277, 52, 66, 30, 30.60, 29.74, 192
1491945935340, 63, 72, 30, 34.94, 30.25, 197
1491945935420, 79, 80, 29, 40.44, 29.09, 201
1491945935494, 73, 85, 28, 39.37, 26.38, 197
1491945935578, 80, 76, 28, 21.03, 29.64, 182
1491945935642, 63, 67, 27, 18.72, 27.04, 177
1491945935729, 86, 65, 26, 23.93, 25.96, 181
1491945935773, 43, 70, 24, 32.99, 22.38, 187
1491945935880, 106, 72, 26, 30.65, 27.37, 190
1491945935912, 32, 73, 26, 30.20, 27.68, 189
1491945936005, 92, 72, 28, 27.73, 29.64, 189
1491945936065, 58, 74, 30, 32.63, 31.90, 196
1491945936138, 71, 74, 29, 29.37, 29.75, 191
1491945936176, 37, 74, 30, 29.62, 31.66, 193
1491945936242, 64, 73, 30, 28.48, 29.56, 190
1491945936295, 40, 73, 29, 28.82, 28.74, 189
1491945936334, 38, 73, 28, 29.95, 27.13, 189
1491945936416, 82, 72, 25, 27.97, 23.41, 183
1491945936477, 60, 70, 25, 26.71, 24.82, 183
1491945936538, 60, 71, 25, 29.63, 26.05, 187
1491945936637, 99, 66, 27, 21.66, 29.90, 183
